Smiles,elu1_smiles,elu2_smiles,ratio1,ratio2,Rf,Rf_type,DataSource,doi,sample_id
CC(C)(C)Nc1cc(Br)c2ccccc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.0,C,D4C,10.1021/acs.orglett.3c03742,0
CC(C)(C)Nc1cc(Cl)c2cc(Br)ccc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.0,C,D4C,10.1021/acs.orglett.3c03742,1
CC(C)(C)Nc1ccc2c(Br)cccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,2
CC(C)(C)Nc1ccc2cc(Br)ccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,3
CC(C)(C)Nc1ccc2ccc(Br)cc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.0,C,D4C,10.1021/acs.orglett.3c03742,4
CC(C)(C)Nc1ccc2ccc3cccnc3c2n1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.0,C,D4C,10.1021/acs.orglett.3c03742,5
CC(C)(C)Nc1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,6
CC(C)(C)Nc1nccc2c(Br)cccc12,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.0,C,D4C,10.1021/acs.orglett.3c03742,8
CC(C)(C)Nc1nccc2cc(Br)ccc12,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,9
CC(C)Nc1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,11
CC1CCCCN1c1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,12
CC1CCCN(c2ccc3ccccc3n2)C1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,13
CCCCN(CCCC)c1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.0,C,D4C,10.1021/acs.orglett.3c03742,15
CCCCNc1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,16
CN(c1ccccc1)c1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,17
COc1ccc(Nc2ccc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,19
COc1cccc2nc(NC(C)(C)C)ccc12,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,21
Cc1ccc2nc(NC(C)(C)C)ccc2c1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,23
Clc1ccc(Nc2ccc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.789299,0.210701,0.0,C,D4C,10.1021/acs.orglett.3c03742,24
Fc1ccc(Nc2ccc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.0,C,D4C,10.1021/acs.orglett.3c03742,25
Nc1nc2ccccc2cc1-c1ccc(Br)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,26
c1ccc(N2CCOCC2)nc1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.0,C,D4C,10.1021/acs.orglett.3c03742,27
c1ccc(Nc2cnc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,29
c1ccc(Nc2nccc3ccccc23)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,30
c1ccc2nc(-n3cccn3)ccc2c1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.0,C,D4C,10.1021/acs.orglett.3c03742,31
c1ccc2nc(-n3ccnc3)ccc2c1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.0,C,D4C,10.1021/acs.orglett.3c03742,32
c1ccc2nc(-n3cnc4ccccc43)ccc2c1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.0,C,D4C,10.1021/acs.orglett.3c03742,33
c1ccc2nc(N3CCCC3)ccc2c1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.0,C,D4C,10.1021/acs.orglett.3c03742,34
c1ccc2nc(N3CCOCC3)ccc2c1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.0,C,D4C,10.1021/acs.orglett.3c03742,35
c1ccc2nc(NC3CCCCC3)ccc2c1,CCCCCC,CCOC(C)=O,0.789299,0.210701,0.0,C,D4C,10.1021/acs.orglett.3c03742,36
