,Smiles,elu1_smiles,elu2_smiles,ratio1,ratio2,Rf,Rf_type,DataSource,doi
0,CCC(=O)C(Cc1ccc(Br)cc1)C(=O)CC,CCCCCC,CCOC(C)=O,0.870849,0.129151,0.4,Q,D4C,10.1021/acs.orglett.3c03369
1,O=C(O)C(Cc1ccc(Br)cc1)C(=O)O,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.05,Q,D4C,10.1021/acs.orglett.3c03369
2,O=C(O)CCc1ccc(Br)cc1,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.1,Q,D4C,10.1021/acs.orglett.3c03369
3,O=C1CCc2ccc(Br)cc21,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.65,Q,D4C,10.1021/acs.orglett.3c03369
4,OC1CCc2ccc(Br)cc21,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.55,Q,D4C,10.1021/acs.orglett.3c03369
5,Brc1ccc2c(c1)C=CC2,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.7,Q,D4C,10.1021/acs.orglett.3c03369
6,Brc1ccc2c(c1)[C@H]1O[C@H]1C2,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.65,Q,D4C,10.1021/acs.orglett.3c03369
7,CC1=N[C@@H]2c3cc(Br)ccc3C[C@@H]2O1,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.4,Q,D4C,10.1021/acs.orglett.3c03369
8,N[C@@H]1c2cc(Br)ccc2C[C@@H]1O,CCOC(C)=O,CCCCCC,1.0,0.0,0.05,Q,D4C,10.1021/acs.orglett.3c03369
9,Brc1ccc2c(c1)[C@H]1N=C(CC3=N[C@@H]4c5cc(Br)ccc5C[C@@H]4O3)O[C@H]1C2,ClCCl,CO,0.923296,0.076704,0.3,Q,D4C,10.1021/acs.orglett.3c03369
10,CC[C@@](C)(C1=N[C@@H]2c3cc(Br)ccc3C[C@@H]2C1)C1=N[C@@H]2C3=C(CC(Br)=C3)C[C@@H]2O1,CCCCCC,CCOC(C)=O,0.749803,0.250197,0.07,Q,D4C,10.1021/acs.orglett.3c03369
11,CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H]3c4cc(Br)ccc4C[C@@H]3O2)C2=N[C@@H]3c4cc(Br)ccc4C[C@@H]3O2)cc1,CCCCCC,CCOC(C)=O,0.749803,0.250197,0.48,Q,D4C,10.1021/acs.orglett.3c03369
12,CC(C)(C)c1cc(CC(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2)(C2=N[C@@H]3c4cc(Br)ccc4C[C@@H]3O2)C2=N[C@@H]3c4cc(Br)ccc4C[C@@H]3O2)cc(C(C)(C)C)c1,CCCCCC,CCOC(C)=O,0.749803,0.250197,0.81,Q,D4C,10.1021/acs.orglett.3c03369
13,FC(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)F)cc2)(C2=N[C@@H]3c4cc(Br)ccc4C[C@@H]3O2)C2=N[C@@H]3c4cc(Br)ccc4C[C@@H]3O2)cc1,CCCCCC,CCOC(C)=O,0.749803,0.250197,0.67,Q,D4C,10.1021/acs.orglett.3c03369
14,Cc1ccc(-c2ccc3c(c2)[C@H]2N=C(C(Cc4ccccc4)(Cc4ccccc4)C4=N[C@@H]5c6cc(-c7ccc(C)cc7)ccc6C[C@@H]5O4)O[C@H]2C3)cc1,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.46,Q,D4C,10.1021/acs.orglett.3c03369
15,Cc1ccccc1-c1ccc2c(c1)[C@H]1N=C(C(Cc3ccccc3)(Cc3ccccc3)C3=N[C@@H]4c5cc(-c6ccccc6C)ccc5C[C@@H]4O3)O[C@H]1C2,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.43,Q,D4C,10.1021/acs.orglett.3c03369
16,COc1ccc(-c2ccc3c(c2)[C@H]2N=C(C(Cc4ccccc4)(Cc4ccccc4)C4=N[C@@H]5c6cc(-c7ccc(OC)cc7)ccc6C[C@@H]5O4)O[C@H]2C3)cc1,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.24,Q,D4C,10.1021/acs.orglett.3c03369
17,FC(F)(F)c1ccc(-c2ccc3c(c2)[C@H]2N=C(C(Cc4ccccc4)(Cc4ccccc4)C4=N[C@@H]5c6cc(-c7ccc(C(F)(F)F)cc7)ccc6C[C@@H]5O4)O[C@H]2C3)cc1,CCCCCC,CCOC(C)=O,0.63612,0.36388,0.21,Q,D4C,10.1021/acs.orglett.3c03369
