elu_raw,elu_key
EtOAc,1.0
pentane,9.0
CH2Cl2,5.0
hexane,4.0
n-hexane,4.0
petroleum ether,3.0
Hex,4.0
Hexane,4.0
Petroleum ether,3.0
PE,3.0
EA,1.0
ethyl acetate,1.0
Pet. Ether,3.0
Et2O,6.0
n-pentane,9.0
DCM,5.0
Chloroform,8.0
hexanes,4.0
petroleum ether pentane,3.0
Pet,3.0
benzene,11.0
pent,9.0
Pent,9.0
petroleum eher,3.0
pet. ether,3.0
dichloromethane,5.0
diethyl ether,6.0
MeOH,2.0
Ethyl acetate,1.0
CHCl3,8.0
n-hexanes,4.0
Methanol,2.0
Hexanes,4.0
heptane,12.0
Pet. ether,3.0
AcOEt,1.0
methanol,2.0
petrol,3.0
PhMe,7.0
Pentane,9.0
toluene,7.0
Petrol ether,3.0
,14.0
tetrahydrofuran,13.0
acetone,10.0
Ether,6.0
petroleum ether 40-60,3.0
ethoxyethane,6.0
PS 40-60 °C,3.0
n-Hexane,4.0
cHex,4.0
ethylacetate,1.0
ether,6.0
Petroleumether,3.0
petroleum,3.0
CH2Cl2 ether,15.0
Benzene,11.0
Heptane,12.0
2-Chloroethyl ether,15.0
Toluene,7.0
CH3OH,2.0
Petroleum Ether,3.0
tert-butyl methyl ether,16.0
Acetone,10.0
EtOH,17.0
Petroleum,3.0
DEE,6.0
cyHex,18.0
cyclohexane,18.0
Pentan,9.0
Heptanes,12.0
heptanes,12.0
EtOAC,1.0
c-hexane,18.0
Cyclohexane,18.0
nhexane,4.0
Pe,3.0
MeOAc,24.0
Petether,3.0
E2O,6.0
PS,3.0
hex,4.0
Ethyl Acetate,1.0
acetic acid,25.0
acetonitrile,19.0
Pet ether,3.0
pet ether,3.0
THF,13.0
methylene chloride,5.0
AcOH,25.0
Petrol,3.0
Cylohexane,18.0
nP,9.0
Cy,18.0
PS 40-60,3.0
MTBE,16.0
diethylether,6.0
CH,18.0
n-hex,4.0
PhH,11.0
Tol,7.0
Ace,10.0
VPE,3.0
nPen,9.0
petroleum ether (60 ℃–90 ℃),3.0
penH,11.0
pantane,9.0
Pentanes,9.0
Pantane,9.0
CyH,18.0
nHex,4.0
chloroform,8.0
Pen,9.0
MeNO2,21.0
ethyl ether,6.0
DCE,22.0
MeCN,19.0
Petrolium ether,3.0
TEA,23.0
actone,10.0
tBuOH,20.0
VEA,1.0
ac,10.0
methyl alcohol,2.0
petroleum spirits,3.0
petroleum spirit,3.0
Et3N,23.0
triethylamine,23.0
Triethylamine,23.0
n-heptane,12.0
EE,6.0
n-Hex,4.0
npentane,9.0
Ethyl actate,1.0
CyHex,18.0
Pet Ether,3.0
Pet-Ether,3.0
60-90 petroleum ether,3.0
ethanol,17.0
methylene dichloride,5.0
Dichloromethane,5.0
n hexane,4.0
Acetonitrile,19.0
methyl acetate,24.0
isopropanol,26.0
tert-Butyl methyl ether,16.0
Methyl-t-Butyl Ether,16.0
