key,std_name,567_Smiles,hex_Smiles,density,kamlet_taft_pi
1.0,EA,CCOC(C)=O,CCOC(C)=O,0.902,0.55
2.0,Methanol,CO,CO,0.792,0.60
3.0,PE,CCCCC.CCCCCC.CCCCCCC,CCCCCC,0.661,-0.04
4.0,Hex,CCCCCC,CCCCCC,0.661,-0.04
5.0,DCM,ClCCl,ClCCl,1.33,0.82
6.0,Diethyl ether,CCOCC,CCOCC,0.713,0.27
7.0,Toluene,Cc1ccccc1,Cc1ccccc1,0.8623,0.54
8.0,Chloroform,ClC(Cl)Cl,ClC(Cl)Cl,1.49,0.58
9.0,Pentane,CCCCC,CCCCC,0.626,-0.08
10.0,Acetone,CC(C)=O,CC(C)=O,0.784,0.70
11.0,Benzene,c1ccccc1,c1ccccc1,0.876,0.59
12.0,Heptane,CCCCCCC,CCCCCCC,0.684,-0.08
13.0,THF,C1CCOC1,C1CCOC1,0.889,0.58
14.0,,,,,
15.0,2-Chloroethyl ether,ClCCOCCCl,ClCCOCCCl,1.22,0.82
16.0,Tert-butyl methyl ether (MTBE),COC(C)(C)C,COC(C)(C)C,0.7404,0.34
17.0,Ethanol,CCO,CCO,0.789,0.54
18.0,Cyclohexane,C1CCCCC1,C1CCCCC1,0.779,0
19.0,Acetonitrile,CC#N,CC#N,0.786,0.75
20.0,Tert-butanol,CC(C)(C)O,CC(C)(C)O,0.78,0.58
21.0,Nitromethane,C[N+](=O)[O-],C[N+](=O)[O-],1.14,0.85
22.0,Dichloroethane,ClCCCl,ClCCCl,1.25,0.81
23.0,Triethyamine(TEA),CCN(CC)CC,CCN(CC)CC,0.726,0.14
24.0,Methyl acetate,COC(C)=O,COC(C)=O,0.932,0.6
25.0,Acetic acid,CC(=O)O,CC(=O)O,1.05,0.64
26.0,isopropanol,CC(C)O,CC(C)O,0.786,0.48
